date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
02:04:49	9666/9666	---M--	200	added ('OK')	image/gif	etag:%225a746e2d-25c2%22	http://p13.zdassets.com/hc/assets/loader.gif	D:/bin/bin/p13.zdassets.com/hc/assets/loader.gif	(from http://p13.zdassets.com/hc/assets/application-3b0b6df180f05e3fa954d2e4d90e4600.css)
02:04:50	9666/9666	---M--	200	added ('OK')	image/gif	etag:%22e8da93f2c76336139e692ae3ad5ed635%22	http://theme.zdassets.com/theme_assets/1938355/6aae8ce36967837f706ac36deff4b753e43977a4.gif	D:/bin/bin/theme.zdassets.com/theme_assets/1938355/6aae8ce36967837f706ac36deff4b753e43977a4.gif	(from http://p13.zdassets.com/hc/theming_assets/1938355/114094048972/style.css?digest=360008825352&locale=en-us)
02:04:55	71228/71228	---M--	200	added ('OK')	application/octet-stream	etag:%225a12edea-1163c%22	http://p13.zdassets.com/hc/assets/entypo-d19e604cb2db8e8a56bd13031d6e2b32.ttf	D:/bin/bin/p13.zdassets.com/hc/assets/entypo-d19e604cb2db8e8a56bd13031d6e2b32.ttf	(from http://p13.zdassets.com/hc/assets/application-3b0b6df180f05e3fa954d2e4d90e4600.css)
02:04:57	49420/49420	---M--	200	added ('OK')	image/jpeg	etag:%22f24e09bb84f05bed0a6a83293f7a5e1a%22	http://theme.zdassets.com/theme_assets/1938355/d8d6d5b658af06c828d8bb1f7b87ad1968ac420e.jpg	D:/bin/bin/theme.zdassets.com/theme_assets/1938355/d8d6d5b658af06c828d8bb1f7b87ad1968ac420e.jpg	(from http://p13.zdassets.com/hc/theming_assets/1938355/114094048972/style.css?digest=360008825352&locale=en-us)
02:04:59	10491/10491	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2013%20Feb%202018%2023:04:57%20GMT	https://support.binance.com/hc/en-us/articles/360000851071-Happy-Valentine-s-Day-GTO-Lucky-Draw-and-Trading-Competition/subscription	D:/bin/bin/support.binance.com/hc/en-us/articles/360000851071-Happy-Valentine-s-Day-GTO-Lucky-Draw-and-Trading-Competition/subscription.1f.delayed	(from https://support.binance.com/hc/en-us/articles/360000851071-Happy-Valentine-s-Day-GTO-Lucky-Draw-and-Trading-Competition)
02:05:00	10140/10140	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2013%20Feb%202018%2023:04:58%20GMT	https://support.binance.com/hc/en-us/articles/360000849751-System-Upgrade-Notice/subscription	D:/bin/bin/support.binance.com/hc/en-us/articles/360000849751-System-Upgrade-Notice/subscription	(from https://support.binance.com/hc/en-us/articles/360000849751-System-Upgrade-Notice)
02:05:01	10167/10167	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2013%20Feb%202018%2023:04:59%20GMT	https://support.binance.com/hc/en-us/articles/360000765312-System-Upgrade-Completed/subscription	D:/bin/bin/support.binance.com/hc/en-us/articles/360000765312-System-Upgrade-Completed/subscription	(from https://support.binance.com/hc/en-us/articles/360000765312-System-Upgrade-Completed)
02:05:02	10716/10716	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2013%20Feb%202018%2023:05:00%20GMT	https://support.binance.com/hc/en-us/articles/360000759592-Extension-of-TRIG-Competition-and-Postponement-of-Community-Coin-of-the-Month-Round-6/subscription	D:/bin/bin/support.binance.com/hc/en-us/articles/360000759592-Extension-of-TRIG-Competition-and-Postponement-of-Community-Coin-of-the-Month-Round-6/subscription	(from https://support.binance.com/hc/en-us/articles/360000759592-Extension-of-TRIG-Competition-and-Postponement-of-Community-Coin-of-the-Month-Round-6)
02:05:03	24192/24192	---MCZ	200	added ('OK')	text/html	date:Tue,%2013%20Feb%202018%2023:02:12%20GMT	https://support.binance.com/hc/en-us/articles/360000496951	D:/bin/bin/support.binance.com/hc/en-us/articles/360000496951.html	(from https://support.binance.com/hc/en-us/articles/360000759592-Extension-of-TRIG-Competition-and-Postponement-of-Community-Coin-of-the-Month-Round-6)
02:05:05	25207/25207	---MCZ	200	added ('OK')	text/html	date:Tue,%2013%20Feb%202018%2023:00:17%20GMT	https://support.binance.com/hc/en-us/articles/360000598531	D:/bin/bin/support.binance.com/hc/en-us/articles/360000598531.html	(from https://support.binance.com/hc/en-us/articles/360000759592-Extension-of-TRIG-Competition-and-Postponement-of-Community-Coin-of-the-Month-Round-6)
